,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
CRISP2,84.4065575045518,-1.90280874045303,0.190147720265669,-10.0070026492796,1.41989294302711e-23,7.1527731713462e-23,down
FBXL16,3298.24009052579,-1.11432756136031,0.111358869859432,-10.006634970047,1.4251781439091e-23,7.17378650710946e-23,down
INMT,3709.4408909488,-1.05603377528569,0.105583476488341,-10.001884863133,1.49523574845097e-23,7.52055122053767e-23,down
CIDEA,2145.31851620688,-1.70297273855486,0.170276690901847,-10.0012087945526,1.50548021211864e-23,7.56912201885252e-23,down
KCNE2,164.234132742767,-1.61187490394681,0.161229680852374,-9.99738320776482,1.56477241144302e-23,7.8610894819803e-23,down
GCSAML,56.012349023809,-1.20739181980577,0.120922646795073,-9.98482791938824,1.77608986976083e-23,8.89149382525816e-23,down
LDHD,1065.11641060181,-1.10726094426669,0.110949900966341,-9.9798281442595,1.86790021656841e-23,9.34022619938573e-23,down
ACTBL2,7115.57176564032,-1.12315462905007,0.112598427389152,-9.97486958826107,1.96359235169167e-23,9.80350119462804e-23,down
PLIN1,77.8911564720684,-1.09827824180865,0.110145006743354,-9.97120318279807,2.03745485526456e-23,1.01643903914263e-22,down
LIFR,686.483045812059,-1.18024034948893,0.118422987009626,-9.9663112651684,2.14030653639712e-23,1.06609777630825e-22,down
TRIM50,31.4990094369172,-1.38134305264468,0.138705403170907,-9.95882655661684,2.30770342047508e-23,1.14859071712286e-22,down
C7orf57,160.005054582092,-1.28225463220535,0.128956450253833,-9.94331520200353,2.69698960560983e-23,1.33717948844727e-22,down
SLC2A12,607.415312353938,-1.1662870229284,0.11747689659158,-9.92779905467813,3.15134482402924e-23,1.55765436217654e-22,down
SYNPO2,6574.10837742948,-1.56333041903696,0.157544930839037,-9.92307661510353,3.30411334108841e-23,1.62941362735681e-22,down
