,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ZNF593,6566.36667479541,-0.0812466285442168,0.114250860336434,-0.711124872976628,0.477006857937102,0.661738515575537
CST8,61.3791631387369,-0.219937374101288,0.194401586972191,-1.13135585736113,0.257905342983421,0.451091989399648
FSIP1,553.768294401377,-0.183623567526441,0.0869853434089556,-2.11097134678365,0.0347747747735055,0.110776867515034
PBX1,2012.97591220537,0.608541448072336,0.133187901976213,4.56904447808645,4.89952807969817e-06,8.25396153651025e-05
ZNF764,940.02186611076,-0.0180029631371644,0.142870354996267,-0.126009088012938,0.899724730726431,0.946833054240096
MYOZ3,2211.05781818766,0.155770393619729,0.10777193334397,1.44537068962625,0.148353791730902,0.312843579561929
CCDC182,44.4410499781794,-0.10472715262019,0.131151726739235,-0.798519052886096,0.424569341073852,0.616832330797864
SASH3,1085.4147906802,-0.207473108234951,0.154685706680649,-1.34125584507482,0.179837400452559,0.35701776742583
MAGI2,106.144032582404,0.225446609815944,0.109872360259866,2.05189557485363,0.0401798120151601,0.123504620279498
HIST1H3J,17327.2327672048,0.137428502183542,0.0794669434978879,1.72937948956341,0.0837411983968971,0.21082159163577
GABRQ,172.417543803804,0.0297318388168815,0.155658941211849,0.191006302531745,0.848520655361618,0.919304514126831
STX12,4365.73325421886,-0.00502232899499798,0.080358735789674,-0.0624988552351435,0.950165573549519,0.97353213607152
OR2G3,29.4077559248211,-0.0489501261630886,0.122625938704159,-0.399182478685714,0.689758752553249,0.823099098598651
HEXDC,3804.28211879609,0.0785069840984728,0.152781432312638,0.513851604282799,0.607355745552807,0.765877808661768
IMPACT,7053.61930075599,0.149199707194031,0.100655305323538,1.4822835886738,0.13826485317458,0.297852159760183
KCNE3,895.878904356572,0.225140719320541,0.215310447274962,1.0456562706083,0.295719759287573,0.492568296957767
CHDH,325.938590498957,0.753979559740025,0.131387166844806,5.73860885995527,9.54573971726098e-09,3.35443259751874e-07
TNIP3,513.824647683245,-0.502891688311695,0.20009907074326,-2.5132135119055,0.011963690398171,0.04983106536872
DEGS2,3266.04171570337,-1.07518586244118,0.132866642436313,-8.09221820259779,5.85878312401493e-16,8.41047015696356e-14
